## [BeGaze]
## Converted from:	C:\Program Files\SMI\Experiment Suite 360\Experiment Center 2\Results\cogaid_rapidRead_1_8\P06-eye_data.idf
## Date:	28.03.2013 15:01:04
## Version:	BeGaze 3.2.28
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	816
## Reversed:	none
## [Run]
## Subject:	P06
## Description:	Run1
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
1446454658	SMP	1	463.77	443.34	463.77	443.34	
1446462963	SMP	1	466.41	445.38	466.41	445.38	
1446471223	SMP	1	465.60	454.40	465.60	454.40	
1446479586	SMP	1	468.00	452.37	468.00	452.37	
1446487979	SMP	1	464.25	442.40	464.25	442.40	
1446496213	SMP	1	464.14	443.83	464.14	443.83	
1446504616	SMP	1	454.22	442.07	454.22	442.07	
1446512957	SMP	1	465.53	440.96	465.53	440.96	
1446521347	SMP	1	457.19	437.84	457.19	437.84	
1446529585	SMP	1	452.90	436.83	452.90	436.83	
1446537996	SMP	1	445.68	435.94	445.68	435.94	
1446546329	SMP	1	457.58	434.62	457.58	434.62	
1446554740	SMP	1	460.10	434.34	460.10	434.34	
1446562973	SMP	1	444.36	438.09	444.36	438.09	
1446571340	SMP	1	463.41	457.41	463.41	457.41	
1446579701	SMP	1	456.00	464.18	456.00	464.18	
1446588110	SMP	1	462.66	447.07	462.66	447.07	
1446596322	SMP	1	467.32	438.17	467.32	438.17	
1446604728	SMP	1	462.92	439.43	462.92	439.43	
1446613087	SMP	1	467.42	440.11	467.42	440.11	
1446621469	SMP	1	463.64	448.06	463.64	448.06	
1446629704	SMP	1	469.04	451.33	469.04	451.33	
1446638140	SMP	1	468.12	450.19	468.12	450.19	
1446646462	SMP	1	463.75	454.33	463.75	454.33	
1446654765	SMP	1	472.79	449.16	472.79	449.16	
1446663081	SMP	1	463.34	292.69	463.34	292.69	
1446671486	SMP	1	479.91	305.10	479.91	305.10	
1446679824	SMP	1	476.12	298.76	476.12	298.76	
1446688100	SMP	1	468.79	295.46	468.79	295.46	
1446696469	SMP	1	481.56	273.66	481.56	273.66	
1446704837	SMP	1	480.96	278.59	480.96	278.59	
1446713229	SMP	1	490.08	276.77	490.08	276.77	
1446721452	SMP	1	489.20	279.07	489.20	279.07	
1446729843	SMP	1	498.05	272.86	498.05	272.86	
1446738229	SMP	1	498.07	274.09	498.07	274.09	
1446746618	SMP	1	498.48	263.85	498.48	263.85	
1446754888	SMP	1	499.85	306.45	499.85	306.45	
1446763256	SMP	1	498.68	290.21	498.68	290.21	
1446771646	SMP	1	497.61	306.36	497.61	306.36	
1446779863	SMP	1	497.69	310.41	497.69	310.41	
1446788261	SMP	1	494.47	307.15	494.47	307.15	
1446796659	SMP	1	499.20	308.74	499.20	308.74	
1446805008	SMP	1	495.03	305.05	495.03	305.05	
1446813971	SMP	1	491.61	288.56	491.61	288.56	
1446821581	SMP	1	482.42	309.10	482.42	309.10	
1446829978	SMP	1	396.52	193.18	396.52	193.18	
