## [BeGaze]
## Converted from:	C:\Program Files\SMI\Experiment Suite 360\Experiment Center 2\Results\cogaid_rapidRead_1_8\P06-eye_data.idf
## Date:	28.03.2013 15:01:04
## Version:	BeGaze 3.2.28
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	445
## Reversed:	none
## [Run]
## Subject:	P06
## Description:	Run1
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
1457207021	SMP	1	682.30	461.80	682.30	461.80	
1457215422	SMP	1	677.07	460.95	677.07	460.95	
1457223649	SMP	1	671.54	467.96	671.54	467.96	
1457232052	SMP	1	654.56	456.80	654.56	456.80	
1457240392	SMP	1	646.85	457.81	646.85	457.81	
1457248800	SMP	1	594.36	412.42	594.36	412.42	
1457257022	SMP	1	566.72	431.31	566.72	431.31	
1457265407	SMP	1	612.90	446.96	612.90	446.96	
1457273769	SMP	1	597.18	430.52	597.18	430.52	
1457282163	SMP	1	580.91	442.67	580.91	442.67	
1457290396	SMP	1	586.57	437.83	586.57	437.83	
1457298799	SMP	1	581.76	431.06	581.76	431.06	
1457307144	SMP	1	578.13	427.00	578.13	427.00	
1457315417	SMP	1	589.53	421.33	589.53	421.33	
1457323770	SMP	1	575.86	425.43	575.86	425.43	
1457332164	SMP	1	578.69	432.89	578.69	432.89	
1457340521	SMP	1	582.64	428.25	582.64	428.25	
1457348869	SMP	1	585.05	413.52	585.05	413.52	
1457357149	SMP	1	577.87	438.23	577.87	438.23	
1457365527	SMP	1	577.81	445.38	577.81	445.38	
1457373890	SMP	1	590.65	453.07	590.65	453.07	
1457382152	SMP	1	584.23	443.16	584.23	443.16	
1457390510	SMP	1	587.55	420.89	587.55	420.89	
