## [BeGaze]
## Converted from:	C:\Program Files\SMI\Experiment Suite 360\Experiment Center 2\Results\cogaid_rapidRead_1_8\P06-eye_data.idf
## Date:	28.03.2013 15:01:04
## Version:	BeGaze 3.2.28
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1935
## Reversed:	none
## [Run]
## Subject:	P06
## Description:	Run1
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
1512621326	SMP	1	0.00	0.32	0.00	0.32	
1512629682	SMP	1	0.00	0.28	0.00	0.28	
1512638056	SMP	1	0.00	0.00	0.00	0.00	
1512663090	SMP	1	0.00	0.00	0.00	0.00	
1512671510	SMP	1	0.00	0.00	0.00	0.00	
1512679684	SMP	1	0.00	0.00	0.00	0.00	
1512688065	SMP	1	0.00	0.00	0.00	0.00	
1512696461	SMP	1	0.00	0.00	0.00	0.00	
1512704822	SMP	1	0.00	0.00	0.00	0.00	
1512713082	SMP	1	0.00	0.00	0.00	0.00	
1512721502	SMP	1	746.39	937.53	746.39	937.53	
1512729821	SMP	1	420.54	143.44	420.54	143.44	
1512738184	SMP	1	411.48	254.52	411.48	254.52	
1512746454	SMP	1	381.19	245.41	381.19	245.41	
1512754826	SMP	1	402.60	239.94	402.60	239.94	
1512763209	SMP	1	405.33	216.72	405.33	216.72	
1512771578	SMP	1	408.07	244.83	408.07	244.83	
1512779822	SMP	1	412.78	244.30	412.78	244.30	
1512788189	SMP	1	495.96	270.43	495.96	270.43	
1512796750	SMP	1	597.31	317.37	597.31	317.37	
1512804955	SMP	1	579.15	334.52	579.15	334.52	
1512813200	SMP	1	428.59	327.55	428.59	327.55	
1512821573	SMP	1	592.95	221.21	592.95	221.21	
1512838188	SMP	1	588.88	190.68	588.88	190.68	
1512846565	SMP	1	587.64	212.83	587.64	212.83	
1512854973	SMP	1	585.60	245.69	585.60	245.69	
1512863324	SMP	1	575.82	416.45	575.82	416.45	
1512871568	SMP	1	585.44	214.35	585.44	214.35	
1512879920	SMP	1	580.58	191.79	580.58	191.79	
1512888312	SMP	1	586.16	203.57	586.16	203.57	
1512896731	SMP	1	576.43	178.46	576.43	178.46	
1512904972	SMP	1	587.68	214.87	587.68	214.87	
1512913359	SMP	1	590.72	358.30	590.72	358.30	
1512921731	SMP	1	587.20	188.87	587.20	188.87	
1512930110	SMP	1	701.19	224.80	701.19	224.80	
1512938343	SMP	1	738.78	250.55	738.78	250.55	
1512946719	SMP	1	708.11	403.10	708.11	403.10	
1512955112	SMP	1	703.08	441.73	703.08	441.73	
1512963581	SMP	1	706.81	280.07	706.81	280.07	
