## [BeGaze]
## Converted from:	C:\Program Files\SMI\Experiment Suite 360\Experiment Center 2\Results\cogaid_rapidRead_1_8\P06-eye_data.idf
## Date:	28.03.2013 15:01:04
## Version:	BeGaze 3.2.28
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1190
## Reversed:	none
## [Run]
## Subject:	P06
## Description:	Run1
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
1484518647	SMP	1	700.88	440.46	700.88	440.46	
1484526445	SMP	1	693.82	438.35	693.82	438.35	
1484534821	SMP	1	699.83	449.93	699.83	449.93	
1484543173	SMP	1	707.89	458.86	707.89	458.86	
1484551556	SMP	1	710.14	457.99	710.14	457.99	
1484559922	SMP	1	702.48	462.43	702.48	462.43	
1484568194	SMP	1	701.91	476.91	701.91	476.91	
1484576540	SMP	1	705.57	482.37	705.57	482.37	
1484584930	SMP	1	697.44	459.52	697.44	459.52	
1484593294	SMP	1	697.00	430.42	697.00	430.42	
1484601560	SMP	1	682.12	410.34	682.12	410.34	
1484609915	SMP	1	686.42	426.98	686.42	426.98	
1484618410	SMP	1	686.49	460.36	686.49	460.36	
1484626665	SMP	1	689.36	465.69	689.36	465.69	
1484634947	SMP	1	687.88	466.49	687.88	466.49	
1484643290	SMP	1	681.84	478.33	681.84	478.33	
1484651681	SMP	1	697.62	454.12	697.62	454.12	
1484659950	SMP	1	693.18	432.75	693.18	432.75	
1484668367	SMP	1	683.70	449.12	683.70	449.12	
1484676674	SMP	1	681.56	454.90	681.56	454.90	
1484685072	SMP	1	687.14	466.73	687.14	466.73	
1484693293	SMP	1	684.66	462.24	684.66	462.24	
1484701684	SMP	1	626.18	423.43	626.18	423.43	
1484710040	SMP	1	521.50	450.52	521.50	450.52	
1484718434	SMP	1	486.65	468.36	486.65	468.36	
1484726667	SMP	1	500.68	419.34	500.68	419.34	
1484735056	SMP	1	506.38	424.13	506.38	424.13	
1484743414	SMP	1	488.10	445.18	488.10	445.18	
1484751814	SMP	1	501.53	427.61	501.53	427.61	
1484760077	SMP	1	489.48	430.47	489.48	430.47	
1484768449	SMP	1	497.33	427.95	497.33	427.95	
1484776800	SMP	1	500.27	394.69	500.27	394.69	
1484785181	SMP	1	499.47	430.51	499.47	430.51	
1484793436	SMP	1	487.40	431.43	487.40	431.43	
1484801869	SMP	1	495.78	417.43	495.78	417.43	
1484810205	SMP	1	492.76	424.62	492.76	424.62	
1484818488	SMP	1	487.39	412.90	487.39	412.90	
1484826842	SMP	1	489.04	432.41	489.04	432.41	
1484835229	SMP	1	499.90	423.45	499.90	423.45	
1484843614	SMP	1	497.17	420.38	497.17	420.38	
1484851868	SMP	1	501.47	412.93	501.47	412.93	
